Wall time,Step,Value
1638819319.4353673,9556,700.0
1638819324.4630008,9566,700.0
1638819326.9763293,9571,700.0
1638819338.0464523,9593,700.0
1638819342.0682268,9601,700.0
1638819345.0854194,9607,700.0
1638819351.6233046,9620,700.0
1638819368.2180073,9653,700.0
1638819375.7610736,9668,700.0
1638819377.2687888,9671,700.0
1638819377.776405,9672,700.0
1638819379.2841508,9675,700.0
1638819383.8087,9684,700.0
1638819385.8200824,9688,700.0
1638819387.8301508,9692,199.0
1638819393.865317,9704,199.0
1638819394.3676066,9705,199.0
1638819397.8873374,9712,199.0
1638819409.9648745,9736,199.0
1638819410.9701102,9738,199.0
1638819418.5086331,9753,700.0
1638819419.0113673,9754,700.0
1638819428.0637872,9772,700.0
1638819436.108555,9788,700.0
1638819437.6161911,9791,700.0
1638819441.1403742,9798,700.0
1638819448.6837094,9813,700.0
1638819454.2156324,9824,700.0
1638819460.75784,9837,700.0
1638819467.2931778,9850,700.0
1638819475.8409061,9867,700.0
1638819479.361566,9874,700.0
1638819488.9169507,9893,700.0
1638819489.4200683,9894,700.0
1638819492.9402292,9901,700.0
1638819494.4491522,9904,700.0
1638819500.4821916,9916,700.0
1638819500.9850485,9917,700.0
1638819516.570525,9948,700.0
1638819517.0734417,9949,700.0
1638819517.576308,9950,700.0
1638819520.5946162,9956,700.0
1638819522.6061046,9960,700.0
1638819529.1556296,9973,385.0
1638819532.1714354,9979,385.0
1638819536.195666,9987,385.0
1638819539.2136679,9993,385.0
1638819574.4228857,10063,700.0
1638819588.0007188,10090,700.0
1638819603.5877845,10121,700.0
1638819605.5988317,10125,700.0
1638819606.103112,10126,700.0
1638819612.1387734,10138,700.0
1638819637.8030336,10189,538.0
1638819638.8083866,10191,538.0
1638819647.3587766,10208,538.0
1638819650.879263,10215,538.0
1638819655.9073625,10225,538.0
1638819678.034399,10269,700.0
1638819681.0531287,10275,700.0
1638819683.5672927,10280,400.0
1638819691.6142604,10296,400.0
1638819695.1345758,10303,400.0
1638819711.7339075,10336,400.0
1638819714.7510197,10342,700.0
1638819716.2587943,10345,700.0
1638819716.7614548,10346,700.0
1638819731.8479965,10376,357.0
1638819741.4015574,10395,357.0
1638819745.9283607,10404,357.0
1638819751.4569585,10415,357.0
1638819766.544231,10445,700.0
1638819769.560481,10451,700.0
